LAST NAME,MAIDEN NAME,FIRST NAME,BIRTH DATE,POST,DEPARTMENT,EMAIL ADDRESS,LANDLINE PHONE,MOBILE PHONE
FILLON,EMPLOAFIKTIF,Pén@lope,1959-05-22,Assistante,Direction,pepefi@gmail.com,,0623456789
DUPONT,,Jean-Jacques4,196-02-01,"Responsable, Comptable",Comptabilité,,,
ROBERT,,Robert,1989-04-28,Helpdesk,Informatique,boby@caramail.fr,,
TES_T,,Jawad,,,,,,
ROBERT,,Robert,1963-09-19,Agent d'entretien,Entretien,,,
DA COSTA,DA COSTA,Karima,1992-06-30,Stagiaire,Comptabilité,,,
Martin,nietz5sche,ROSIE,1989-02-30,Sociologue,Ressources humaines,rosie.n@socialophy.be,0150401295,
Victor,de Pierret,Marlène,,Expert base de données,L'Oréal DGO,m.victor@loreal.ru,5545454540,054545698444
Dujardin,,JEAN,1972-06-19,Acteur,,jdofficiel@oss117.fr,,,0123456789
Poutin,,Vlad,,Président,,vlad.poutine@beluga.ru,,
Fisher,,Carrie,,Acteur,,,,telerror
