LAST NAME,MAIDEN NAME,FIRST NAME,BIRTH DATE,POST,DEPARTMENT,EMAIL ADDRESS,LANDLINE PHONE,MOBILE PHONE
FILLON,EMPLOAFIKTIF,Pénélope,1959-05-22,Assistante,Direction,pepefi@gmail.com,,0623456789
DUPONT,,Jean-Jacques,1963-02-01,"Responsable, Comptable",Comptabilité,,,
ROBERT,,Robert,1989-04-28,Helpdesk,Informatique,boby@caramail.fr,,
TEST,,Jawad,,,,,,
ROBERT,,Robert,1963-09-19,Agent d'entretien,Entretien,,,
DA COSTA,DA COSTA,Karima,1992-06-30,Stagiaire,Comptabilité,,,
Martin,nietzsche,ROSIE,1989-01-29,Sociologue,Ressources humaines,rosie.n@socialophy.be,0150401295,
Victor,de Pierret,Marlène,,Expert base de données,L'Oréal DGO,m.victor@loreal.ru,5545454540,0545456987
Dujardin,,JEAN,1972-06-19,Acteur,,jdofficiel@oss117.fr,,,0123456789
Poutin,,Vlad,,Président,,vlad.poutine@beluga.ru,,
Fisher,,Carrie,,Acteur,,,,
